Month,Year,Agent_ID,Vehicle_Type,Emission_Level
0,1,0,ICE-S,3
0,1,1,ICE-S,3
0,1,2,ICE-S,3
0,1,3,Cycling/Walking,1
0,1,4,Cycling/Walking,1
0,1,5,HEV-S,2
0,1,6,ICE-M,4
0,1,7,ICE-M,4
0,1,8,Cycling/Walking,1
0,1,9,ICE-M,4
0,1,10,ICE-S,3
0,1,11,Cycling/Walking,1
0,1,12,Cycling/Walking,1
0,1,13,Cycling/Walking,1
0,1,14,Cycling/Walking,1
0,1,15,Cycling/Walking,1
0,1,16,Cycling/Walking,1
0,1,17,Cycling/Walking,1
0,1,18,Cycling/Walking,1
0,1,19,DIE-M,3
0,1,20,ICE-M,4
0,1,21,Cycling/Walking,1
0,1,22,ICE-M,4
0,1,23,Cycling/Walking,1
0,1,24,Cycling/Walking,1
0,1,25,Cycling/Walking,1
0,1,26,Cycling/Walking,1
0,1,27,ICE-M,4
0,1,28,Cycling/Walking,1
0,1,29,Cycling/Walking,1
0,1,30,Cycling/Walking,1
0,1,31,Cycling/Walking,1
0,1,32,DIE-M,3
0,1,33,ICE-S,3
0,1,34,ICE-S,3
0,1,35,DIE-M,3
0,1,36,ICE-S,3
0,1,37,Cycling/Walking,1
0,1,38,Cycling/Walking,1
0,1,39,ICE-S,3
0,1,40,Cycling/Walking,1
0,1,41,ICE-S,3
0,1,42,Cycling/Walking,1
0,1,43,Cycling/Walking,1
0,1,44,Cycling/Walking,1
0,1,45,Cycling/Walking,1
0,1,46,ICE-S,3
0,1,47,DIE-M,3
0,1,48,DIE-M,3
0,1,49,DIE-M,3
0,1,50,Cycling/Walking,1
0,1,51,ICE-M,4
0,1,52,Cycling/Walking,1
0,1,53,Cycling/Walking,1
0,1,54,Cycling/Walking,1
0,1,55,Cycling/Walking,1
0,1,56,Cycling/Walking,1
0,1,57,Cycling/Walking,1
0,1,58,Cycling/Walking,1
0,1,59,Cycling/Walking,1
0,1,60,Cycling/Walking,1
0,1,61,Cycling/Walking,1
0,1,62,Cycling/Walking,1
0,1,63,ICE-M,4
0,1,64,Cycling/Walking,1
0,1,65,Cycling/Walking,1
0,1,66,Cycling/Walking,1
0,1,67,Cycling/Walking,1
0,1,68,DIE-M,3
0,1,69,Cycling/Walking,1
0,1,70,ICE-S,3
0,1,71,Cycling/Walking,1
0,1,72,Cycling/Walking,1
0,1,73,ICE-S,3
0,1,74,ICE-M,4
0,1,75,Cycling/Walking,1
0,1,76,ICE-M,4
0,1,77,ICE-S,3
0,1,78,Cycling/Walking,1
0,1,79,ICE-S,3
0,1,80,ICE-S,3
0,1,81,Cycling/Walking,1
0,1,82,Cycling/Walking,1
0,1,83,ICE-S,3
0,1,84,Cycling/Walking,1
0,1,85,Cycling/Walking,1
0,1,86,Cycling/Walking,1
0,1,87,Cycling/Walking,1
0,1,88,ICE-S,3
0,1,89,DIE-M,3
0,1,90,Cycling/Walking,1
0,1,91,Cycling/Walking,1
0,1,92,ICE-M,4
0,1,93,DIE-M,3
0,1,94,Cycling/Walking,1
0,1,95,ICE-S,3
0,1,96,DIE-M,3
0,1,97,Cycling/Walking,1
0,1,98,ICE-S,3
0,1,99,Cycling/Walking,1
1,1,0,ICE-S,3
1,1,1,ICE-S,3
1,1,2,ICE-S,3
1,1,3,Cycling/Walking,1
1,1,4,Cycling/Walking,1
1,1,5,HEV-S,2
1,1,6,ICE-M,4
1,1,7,ICE-M,4
1,1,8,Cycling/Walking,1
1,1,9,ICE-M,4
1,1,10,ICE-S,3
1,1,11,Cycling/Walking,1
1,1,12,Cycling/Walking,1
1,1,13,Cycling/Walking,1
1,1,14,Cycling/Walking,1
1,1,15,Cycling/Walking,1
1,1,16,Cycling/Walking,1
1,1,17,Cycling/Walking,1
1,1,18,Cycling/Walking,1
1,1,19,DIE-M,3
1,1,20,ICE-M,4
1,1,21,Cycling/Walking,1
1,1,22,ICE-M,4
1,1,23,Cycling/Walking,1
1,1,24,Cycling/Walking,1
1,1,25,Cycling/Walking,1
1,1,26,Cycling/Walking,1
1,1,27,ICE-M,4
1,1,28,Cycling/Walking,1
1,1,29,Cycling/Walking,1
1,1,30,Cycling/Walking,1
1,1,31,Cycling/Walking,1
1,1,32,DIE-M,3
1,1,33,ICE-S,3
1,1,34,ICE-S,3
1,1,35,DIE-M,3
1,1,36,ICE-S,3
1,1,37,Cycling/Walking,1
1,1,38,Cycling/Walking,1
1,1,39,ICE-S,3
