Month,Year,Cycling/Walking,DIE-M,HEV-S,ICE-M,ICE-S
0,1,59.0,10.0,1.0,11.0,19.0
1,1,59.0,10.0,1.0,11.0,19.0
2,1,59.0,10.0,1.0,11.0,19.0
3,1,59.0,10.0,1.0,11.0,19.0
4,1,59.0,10.0,1.0,11.0,19.0
5,1,59.0,9.0,2.0,11.0,19.0
6,1,59.0,9.0,3.0,11.0,18.0
7,1,59.0,9.0,3.0,11.0,18.0
8,1,59.0,9.0,3.0,11.0,18.0
9,1,58.0,9.0,3.0,12.0,18.0
10,1,58.0,9.0,3.0,12.0,18.0
11,1,58.0,9.0,4.0,12.0,17.0
12,2,58.0,9.0,5.0,12.0,16.0
13,2,58.0,10.0,5.0,12.0,15.0
14,2,58.0,10.0,5.0,12.0,15.0
15,2,58.0,10.0,5.0,12.0,15.0
16,2,58.0,10.0,5.0,12.0,15.0
17,2,58.0,10.0,6.0,11.0,15.0
18,2,58.0,10.0,6.0,11.0,15.0
19,2,58.0,10.0,6.0,11.0,15.0
20,2,58.0,10.0,6.0,11.0,15.0
21,2,58.0,10.0,6.0,11.0,15.0
22,2,58.0,11.0,6.0,10.0,15.0
23,2,58.0,11.0,6.0,10.0,15.0
24,3,58.0,10.0,7.0,11.0,14.0
25,3,58.0,10.0,7.0,11.0,14.0
26,3,58.0,11.0,7.0,11.0,13.0
27,3,58.0,11.0,8.0,11.0,12.0
28,3,58.0,11.0,8.0,11.0,12.0
29,3,58.0,10.0,9.0,11.0,12.0
30,3,58.0,11.0,10.0,10.0,11.0
31,3,57.0,12.0,10.0,10.0,11.0
32,3,57.0,12.0,10.0,10.0,11.0
33,3,57.0,12.0,10.0,10.0,11.0
34,3,57.0,12.0,10.0,10.0,11.0
35,3,57.0,12.0,10.0,10.0,11.0
36,4,57.0,12.0,10.0,10.0,11.0
37,4,57.0,12.0,11.0,10.0,10.0
38,4,57.0,12.0,11.0,10.0,10.0
39,4,57.0,12.0,11.0,10.0,10.0
40,4,57.0,12.0,11.0,10.0,10.0
41,4,57.0,12.0,11.0,10.0,10.0
42,4,57.0,12.0,11.0,10.0,10.0
43,4,57.0,12.0,12.0,10.0,9.0
44,4,57.0,13.0,12.0,10.0,8.0
45,4,57.0,13.0,12.0,10.0,8.0
46,4,57.0,13.0,13.0,10.0,7.0
47,4,57.0,13.0,13.0,10.0,7.0
48,5,57.0,13.0,13.0,10.0,7.0
49,5,57.0,13.0,13.0,10.0,7.0
50,5,57.0,13.0,13.0,10.0,7.0
51,5,57.0,13.0,13.0,10.0,7.0
52,5,57.0,13.0,13.0,10.0,7.0
53,5,56.0,14.0,13.0,10.0,7.0
54,5,55.0,13.0,14.0,10.0,8.0
55,5,55.0,13.0,14.0,10.0,8.0
56,5,55.0,13.0,14.0,10.0,8.0
57,5,55.0,13.0,14.0,10.0,8.0
58,5,55.0,13.0,14.0,10.0,8.0
59,5,55.0,13.0,15.0,9.0,8.0
60,6,55.0,13.0,15.0,9.0,8.0
61,6,55.0,13.0,15.0,9.0,8.0
62,6,55.0,13.0,15.0,9.0,8.0
63,6,55.0,13.0,15.0,9.0,8.0
64,6,55.0,13.0,15.0,9.0,8.0
65,6,55.0,13.0,15.0,9.0,8.0
66,6,55.0,13.0,15.0,9.0,8.0
67,6,55.0,13.0,15.0,9.0,8.0
68,6,55.0,13.0,16.0,9.0,7.0
69,6,55.0,13.0,16.0,9.0,7.0
70,6,55.0,13.0,16.0,9.0,7.0
71,6,54.0,13.0,17.0,9.0,7.0
72,7,54.0,13.0,17.0,9.0,7.0
73,7,54.0,13.0,17.0,9.0,7.0
74,7,54.0,13.0,17.0,9.0,7.0
75,7,53.0,13.0,18.0,9.0,7.0
76,7,53.0,13.0,19.0,9.0,6.0
77,7,53.0,13.0,19.0,9.0,6.0
78,7,53.0,13.0,19.0,9.0,6.0
79,7,53.0,13.0,19.0,9.0,6.0
80,7,53.0,13.0,19.0,9.0,6.0
81,7,53.0,13.0,19.0,9.0,6.0
82,7,53.0,13.0,19.0,9.0,6.0
83,7,53.0,14.0,19.0,8.0,6.0
84,8,53.0,14.0,19.0,8.0,6.0
85,8,53.0,14.0,19.0,8.0,6.0
86,8,53.0,14.0,19.0,8.0,6.0
87,8,53.0,14.0,19.0,8.0,6.0
88,8,53.0,14.0,19.0,8.0,6.0
89,8,53.0,14.0,19.0,8.0,6.0
90,8,53.0,14.0,19.0,8.0,6.0
91,8,53.0,14.0,19.0,8.0,6.0
92,8,53.0,14.0,19.0,8.0,6.0
93,8,53.0,14.0,19.0,8.0,6.0
94,8,53.0,14.0,19.0,8.0,6.0
95,8,53.0,14.0,19.0,8.0,6.0
96,9,53.0,16.0,19.0,7.0,5.0
97,9,53.0,16.0,19.0,7.0,5.0
98,9,53.0,16.0,19.0,7.0,5.0
99,9,53.0,16.0,19.0,7.0,5.0
100,9,53.0,16.0,19.0,7.0,5.0
101,9,53.0,16.0,19.0,7.0,5.0
102,9,53.0,16.0,19.0,7.0,5.0
103,9,53.0,16.0,19.0,7.0,5.0
104,9,53.0,16.0,19.0,7.0,5.0
105,9,53.0,14.0,21.0,7.0,5.0
106,9,53.0,14.0,21.0,7.0,5.0
107,9,53.0,14.0,21.0,7.0,5.0
108,10,53.0,14.0,21.0,7.0,5.0
109,10,53.0,14.0,21.0,7.0,5.0
110,10,53.0,14.0,21.0,7.0,5.0
111,10,53.0,14.0,21.0,7.0,5.0
112,10,53.0,14.0,21.0,7.0,5.0
113,10,53.0,14.0,21.0,7.0,5.0
114,10,53.0,15.0,21.0,6.0,5.0
115,10,53.0,15.0,21.0,6.0,5.0
116,10,53.0,15.0,21.0,6.0,5.0
117,10,53.0,15.0,21.0,6.0,5.0
118,10,52.0,15.0,22.0,6.0,5.0
119,10,52.0,15.0,21.0,7.0,5.0
